Time,Output
0,session_begins_here
4,ContextB
315,lick_left
810,lick_left
953,lick_left
3159,lick_left
3318,lick_left
7416,lick_left
7566,lick_left
9866,lick_left
60046,ContextC
75727,lick_right
90068,ContextA
132196,lick_left
150086,ContextC
180094,ContextB
182146,lick_left
182314,lick_left
206121,lick_left
206268,lick_left
206405,lick_left
207328,lick_left
212211,lick_left
212379,lick_left
212518,lick_left
213527,lick_left
240122,ContextC
270146,ContextA
299019,lick_left
310415,lick_left
310557,lick_left
330164,ContextC
360190,ContextB
371670,inactive_press
371718,lick_left
371855,lick_left
371983,lick_left
396894,active_press
396894,reward_left
397051,active_press
397181,lick_left
397276,lick_left
397381,inactive_press
397402,lick_left
397499,lick_left
397620,lick_left
397954,active_press
397955,reward_left
398040,lick_left
398160,lick_left
398275,lick_left
398398,lick_left
398860,lick_right
398884,active_press
399145,lick_right
399278,lick_left
399417,lick_left
399533,lick_right
399643,active_press
399644,reward_left
399802,lick_left
399928,lick_left
400045,lick_left
400170,lick_left
400335,lick_right
400356,active_press
400482,lick_right
400662,active_press
400663,reward_left
400790,lick_left
400919,lick_left
401050,lick_left
401201,lick_left
404919,lick_left
405068,lick_left
405190,lick_left
405280,inactive_press
405331,lick_left
405466,lick_left
405612,lick_left
405756,lick_left
406069,lick_left
410931,lick_left
411073,lick_left
411393,lick_left
411557,lick_left
411698,lick_left
411882,active_press
411883,reward_left
412021,lick_left
412142,lick_left
412264,lick_left
412396,lick_left
412538,lick_left
412711,lick_left
415947,lick_left
415968,active_press
415969,reward_left
416089,lick_left
416212,lick_left
416330,lick_left
416450,lick_left
416583,lick_left
416754,lick_left
416891,lick_left
417035,lick_left
417191,lick_left
417337,lick_left
417494,active_press
417495,lick_left
417495,reward_left
417645,lick_left
417780,lick_left
417912,lick_left
418058,lick_left
418209,lick_left
418454,active_press
418643,lick_left
418790,lick_left
418985,active_press
418986,reward_left
419097,lick_left
419236,lick_left
419378,lick_left
419519,lick_left
419676,lick_left
420225,ContextC
424644,active_press
424744,lick_left
424880,lick_left
425156,lick_left
425449,lick_left
425520,inactive_press
425619,lick_left
425940,lick_left
426517,active_press
426693,active_press
426816,lick_left
426970,lick_left
437101,active_press
437375,active_press
450241,ContextA
450790,lick_left
450967,lick_left
451264,lick_right
451318,active_press
451319,reward_right
451392,lick_right
451507,lick_right
452195,lick_right
468240,active_press
468240,reward_right
468582,active_press
468710,lick_left
468841,lick_left
469008,lick_left
469521,active_press
469522,reward_right
469719,lick_left
486197,active_press
486198,reward_right
486353,lick_right
486506,lick_right
486608,lick_left
486755,lick_right
510263,ContextC
526081,active_press
540280,ContextB
548261,active_press
548262,reward_left
548366,lick_left
548500,lick_left
548595,lick_left
548707,lick_left
549178,active_press
549376,lick_left
549686,active_press
549687,reward_left
549726,lick_left
549872,lick_left
549980,lick_left
550105,lick_left
550469,active_press
550782,lick_left
551049,lick_right
551209,lick_left
551368,lick_right
563653,active_press
563654,reward_left
563825,lick_left
563944,lick_left
564053,lick_left
564166,lick_left
568249,lick_left
568379,lick_left
569270,active_press
569271,reward_left
569630,lick_left
569740,lick_left
569896,active_press
569995,lick_left
570129,lick_left
570545,active_press
570545,reward_left
570664,lick_left
570791,lick_left
570913,lick_left
577328,lick_left
577447,lick_left
577747,lick_left
577886,lick_left
578032,lick_left
578177,lick_left
578504,lick_left
582983,active_press
582984,reward_left
583058,lick_right
583173,lick_right
583332,lick_left
583537,lick_right
583650,lick_right
583772,lick_left
583889,lick_left
584022,lick_left
584172,lick_right
584305,lick_right
584925,active_press
584926,reward_left
585245,lick_right
585384,lick_left
585408,active_press
585503,lick_left
585633,lick_left
585788,lick_right
585952,lick_left
586308,active_press
586309,reward_left
586509,lick_left
586651,lick_left
586758,lick_left
586907,lick_left
596427,active_press
596428,reward_left
596613,lick_right
596738,lick_left
596844,lick_left
596961,lick_left
597685,lick_left
600316,ContextC
620816,active_press
627571,active_press
628133,active_press
628340,lick_right
629569,active_press
629785,active_press
630100,active_press
630331,ContextA
630537,lick_left
630700,lick_left
630847,lick_left
631573,active_press
631574,reward_right
631981,active_press
632282,lick_left
632422,lick_right
632562,active_press
632668,lick_left
647771,active_press
647772,reward_right
690359,ContextC
697706,active_press
698044,active_press
720374,ContextB
720796,lick_left
720948,lick_left
722467,active_press
722468,reward_left
724896,lick_left
725000,lick_left
725103,lick_left
725229,lick_left
725993,active_press
725994,reward_left
726154,lick_left
726245,lick_left
726365,lick_left
726690,active_press
727416,active_press
727417,reward_left
727572,lick_left
727683,lick_left
727804,lick_left
728299,active_press
728531,active_press
728532,reward_left
728800,lick_left
728930,lick_left
729070,lick_left
776858,active_press
776859,reward_left
777094,lick_left
777205,lick_left
777421,active_press
777887,active_press
777888,reward_left
778171,active_press
778253,active_press
778407,lick_left
778524,lick_left
778779,active_press
779965,active_press
779966,reward_left
780407,ContextC
782416,active_press
782437,lick_left
782526,lick_left
782649,lick_left
810423,ContextA
810755,lick_left
810918,lick_left
815619,lick_left
816080,active_press
816081,reward_right
816302,lick_left
816448,lick_right
816636,lick_left
842783,lick_right
842810,active_press
842811,reward_right
842930,lick_left
843076,lick_right
843117,active_press
843233,lick_left
843375,lick_right
843558,lick_left
843744,lick_right
844139,lick_left
844315,lick_right
844792,active_press
844793,reward_right
845190,lick_right
845221,active_press
845350,lick_right
845493,lick_right
845643,lick_right
845669,active_press
845813,lick_right
846834,lick_right
847500,active_press
847501,reward_right
847664,lick_right
847816,lick_right
847942,lick_right
870444,ContextC
900463,ContextB
900774,active_press
900775,reward_left
900880,lick_left
901003,lick_left
901119,lick_left
901250,lick_left
915908,lick_left
916409,lick_left
916779,active_press
916780,reward_left
917067,lick_left
917178,lick_left
917305,lick_left
921074,lick_left
921219,lick_left
921392,lick_left
932137,active_press
932138,reward_left
932171,lick_left
932316,lick_left
932435,lick_left
932562,lick_left
935623,active_press
935624,reward_left
935806,lick_left
935907,lick_left
936024,lick_left
941534,active_press
941535,reward_left
941567,lick_left
941695,lick_left
941811,lick_left
941934,lick_left
942068,lick_left
943982,lick_left
944114,lick_left
944271,lick_left
944414,lick_left
944560,lick_left
944936,lick_left
950636,lick_left
950652,active_press
950653,reward_left
950811,lick_left
950925,lick_left
951048,lick_left
951180,lick_left
953490,lick_left
953517,active_press
953518,reward_left
953630,lick_left
953755,lick_left
953890,lick_left
954025,lick_left
954174,lick_left
957379,active_press
957380,reward_left
957380,lick_left
957528,lick_left
957647,lick_left
957772,lick_left
957905,lick_left
958044,lick_left
960495,ContextC
964560,active_press
964576,lick_left
964724,lick_left
964855,lick_left
964963,active_press
965144,lick_left
965272,lick_left
979378,active_press
979506,active_press
979777,lick_right
979914,lick_left
980309,active_press
980821,lick_right
981335,active_press
981387,lick_right
981538,lick_right
981994,active_press
982040,lick_right
982453,lick_right
982630,active_press
990511,ContextA
990786,lick_left
990919,lick_left
991062,lick_left
991219,lick_left
999218,lick_left
999397,lick_left
999602,lick_left
1003921,lick_left
1004075,lick_left
1044714,lick_left
1044879,lick_left
1045779,active_press
1045780,reward_right
1045794,lick_right
1045910,lick_right
1046243,lick_right
1046651,lick_right
1046812,lick_right
1049303,lick_right
1049579,lick_left
1049700,lick_right
1049841,lick_right
1049976,lick_right
1050536,ContextC
1050768,active_press
1050795,lick_right
1050933,lick_right
1051117,active_press
1051187,lick_right
1052550,lick_right
1053121,active_press
1080555,ContextB
1081158,lick_left
1099583,lick_left
1099736,lick_left
1140582,ContextC
1170598,ContextA
1170965,lick_left
1171150,lick_left
1172694,lick_right
1173015,lick_left
1201504,active_press
1201505,reward_right
1201711,lick_left
1201856,lick_left
1202003,lick_left
1202503,active_press
1202731,lick_left
1202882,lick_right
1202965,active_press
1202966,reward_right
1203039,lick_left
1203320,lick_right
1203427,lick_right
1203566,lick_right
1225076,lick_right
1225226,lick_right
1230625,ContextC
1260642,ContextB
1260907,active_press
1260908,reward_left
1261124,lick_left
1261234,lick_left
1261366,lick_left
1261696,active_press
1261805,lick_left
1261950,lick_left
1262239,active_press
1262240,reward_left
1262441,lick_left
1262558,lick_left
1262686,lick_left
1263324,active_press
1263325,reward_left
1263489,lick_left
1263625,lick_left
1263746,lick_left
1264117,active_press
1269286,lick_left
1269423,lick_left
1269553,lick_left
1269715,lick_left
1269861,lick_left
1270008,lick_left
1290490,active_press
1290491,reward_left
1290810,lick_left
1290916,lick_left
1291032,lick_left
1291325,active_press
1291498,lick_left
1302042,lick_left
1302191,lick_left
1320666,ContextC
1350690,ContextA
1350911,active_press
1350912,reward_right
1351032,lick_left
1351190,lick_left
1351319,lick_left
1351457,lick_left
1352056,active_press
1352057,reward_right
1352301,lick_left
1352452,lick_right
1352572,lick_right
1352694,lick_right
1355411,lick_left
1355799,active_press
1355801,reward_right
1355930,lick_right
1356034,lick_right
1356156,lick_right
1356734,lick_right
1356922,lick_right
1360633,lick_right
1360777,lick_right
1380631,lick_left
1380790,lick_left
1380942,lick_right
1381105,lick_left
1381121,active_press
1381122,reward_right
1381242,lick_right
1381344,active_press
1381375,lick_right
1381492,lick_right
1381613,lick_right
1382149,lick_right
1382353,lick_right
1410712,ContextC
1416153,active_press
1427856,active_press
1428112,active_press
1430344,active_press
1430559,active_press
1435489,active_press
1438231,inactive_press
1440730,ContextB
1451240,lick_left
1451377,lick_left
1451633,active_press
1451634,reward_left
1451878,lick_left
1451994,lick_left
1452122,lick_left
1464567,lick_left
1465026,lick_left
1465179,lick_left
1465620,active_press
1465621,reward_left
1465831,lick_left
1465947,lick_left
1500766,ContextC
1520797,active_press
1530782,ContextA
1531086,active_press
1531086,reward_right
1531276,lick_left
1531536,active_press
1531659,lick_left
1531875,active_press
1532006,lick_left
1532327,active_press
1532328,reward_right
1532581,lick_right
1532707,lick_right
1532723,active_press
1532989,active_press
1533156,lick_right
1533306,lick_right
1561274,active_press
1561275,reward_right
1561812,lick_right
1561935,lick_right
1571736,lick_right
1571872,lick_right
1588783,lick_right
1588903,lick_left
1588957,active_press
1588958,reward_right
1589145,active_press
1589315,active_press
1589334,lick_right
1589443,lick_right
1589589,active_press
1589816,lick_right
1590267,lick_right
1590819,ContextC
1590868,lick_right
1620825,ContextB
1621246,lick_left
1621416,lick_left
1671591,active_press
1671592,reward_left
1671892,lick_left
1672003,lick_left
1672112,lick_left
1672387,lick_left
1672786,active_press
1672787,reward_left
1672961,lick_left
1673086,lick_left
1673220,lick_left
1673370,lick_left
1673541,lick_left
1674493,active_press
1674494,reward_left
1674630,lick_left
1674748,lick_left
1674876,lick_left
1675023,lick_left
1675652,active_press
1675653,reward_left
1675722,lick_left
1675848,lick_left
1675978,lick_left
1676120,lick_left
1676430,active_press
1676666,lick_left
1676884,lick_left
1677049,lick_left
1680852,ContextC
1696637,lick_left
1710872,ContextA
1711313,lick_left
1770197,lick_left
1770351,lick_left
1770673,lick_right
1770694,active_press
1770695,reward_right
1770822,lick_left
1770899,ContextC
1770972,lick_left
1771106,lick_right
1771150,active_press
1771253,lick_left
1771408,lick_right
1772093,lick_right
1800911,ContextB
1801194,lick_left
1801319,lick_left
1801458,lick_left
1801761,active_press
1801762,reward_left
1802001,lick_left
1802106,lick_left
1802221,lick_left
1802350,lick_left
1802499,lick_left
1802672,lick_left
1802814,lick_left
1803652,lick_left
1803674,active_press
1803675,reward_left
1803823,lick_left
1803956,lick_left
1804101,lick_left
1860947,ContextC
1861445,active_press
1890964,ContextA
1891159,active_press
1891159,reward_right
1891296,lick_left
1891467,lick_left
1891606,lick_left
1891750,lick_right
1891787,active_press
1891899,lick_left
1892037,lick_right
1892063,active_press
1892181,lick_right
1892323,lick_right
1892826,lick_right
1944247,lick_left
1944725,active_press
1944726,reward_right
1944844,lick_left
1945108,active_press
1945142,lick_right
1945259,lick_right
1945395,lick_right
1945550,lick_left
1945744,lick_right
1945919,lick_left
1946096,lick_right
1946252,lick_right
1946425,lick_left
1946553,lick_left
1946686,lick_left
1950991,ContextC
1981012,ContextB
1981365,lick_left
1981524,lick_left
1982851,active_press
1982852,reward_left
1983031,lick_right
1983180,lick_left
1983300,lick_left
1983430,lick_right
1983588,lick_left
1985065,active_press
1985067,reward_left
1985467,lick_left
1985583,lick_left
1985723,lick_left
2041033,ContextC
2055083,active_press
2071043,ContextA
2071543,lick_left
2075211,lick_left
2075538,lick_left
2086020,lick_left
